player_id,name,team,position,goals,assists,minutes,nationality,age
122,Manglenthang Kipgen,Punjab FC,Midfielder,0,2,314,India,20
123,Samir Zeljkovi?,Punjab FC,Midfielder,1,1,329,Bosnia and Herzegovina,28
124,Bede Amarachi Osuji,Punjab FC,Midfielder,1,0,248,Nigeria,30
125,Muhammed Suhail,Punjab FC,Midfielder,0,1,188,India,19
126,Nikhil Prabhu,Punjab FC,Midfielder,0,0,90,India,25
127,Leon Augustine,Punjab FC,Midfielder,0,0,168,India,27
128,Sagolsem Bikash Singh,Punjab FC,Midfielder,0,0,97,India,25
129,Pramveer Ranbir,Punjab FC,Defender,0,0,69,India,18
130,Nongmeikapam Meitei,Punjab FC,Defender,0,0,55,India,31
131,Princeton Rebello,Punjab FC,Midfielder,0,0,50,India,27
132,Ninthoinganba Meetei,Punjab FC,Midfielder,0,0,27,India,24
133,Vinit Rai,Punjab FC,Midfielder,0,0,22,India,28
134,Gurmeet Singh,NorthEast United,Goalkeeper,0,0,540,India,26
135,Andy,NorthEast United,Midfielder,2,0,535,Spain,36
136,Buanthanglun Samte,NorthEast United,Defender,0,0,523,India,26
137,Mayakkannan,NorthEast United,Midfielder,0,0,485,India,28
138,Jithin M.S.,NorthEast United,Midfielder,1,0,480,India,28
139,Parthib Sundar Gogoi,NorthEast United,Midfielder,1,1,470,India,23
140,Asheer Akhtar,NorthEast United,Defender,0,1,495,India,31
141,Macarton Louis Nickson,NorthEast United,Midfielder,1,0,416,India,22
142,Míchel Zabaco,NorthEast United,Defender,0,0,398,Spain,37
143,Redeem Tlang,NorthEast United,Defender,0,0,311,India,31
144,Danny Meitei,NorthEast United,Forward,0,0,235,India,18
145,Lalrinzuala Lalbiaknia,NorthEast United,Forward,1,2,200,India,25
146,Soraisham Dinesh Singh,NorthEast United,Defender,0,0,188,India,28
147,Jairo Samperio,NorthEast United,Midfielder,0,0,180,Spain,32
148,Bekey Oram,NorthEast United,Midfielder,0,0,179,India,22
149,Robin Yadav,NorthEast United,Defender,0,0,89,India,24
150,Thoi Singh,NorthEast United,Forward,0,0,68,India,21
151,Ankith Padmanabhan,NorthEast United,Forward,0,0,58,India,24
152,Lalbiakdika Vanlalvunga,NorthEast United,Forward,0,0,34,India,26
153,Fredy Chawngthansanga,NorthEast United,Forward,0,0,1,India,22
154,Rahim Ali,Odisha FC,Forward,1,2,360,India,25
155,Carlos Delgado,Odisha FC,Defender,1,0,360,Spain,35
156,Amrinder Singh,Odisha FC,Goalkeeper,0,0,360,India,32
157,Thoiba Singh,Odisha FC,Defender,0,1,360,India,23
158,Vanlalzuidika,Odisha FC,Defender,0,0,360,India,28
159,K Lalthathanga,Odisha FC,Midfielder,0,1,351,India,27
160,Isak Vanlalruatfela,Odisha FC,Midfielder,0,0,351,India,24
161,Rahul KP,Odisha FC,Midfielder,2,0,334,India,26
162,Rohit Kumar,Odisha FC,Midfielder,0,0,297,India,29
163,Suhair V.P.,Odisha FC,Forward,0,0,211,India,33
164,Saviour Gama,Odisha FC,Defender,0,0,180,India,28
165,K Lalrinfela,Odisha FC,Midfielder,0,1,89,India,26
166,Subham Bhattacharya,Odisha FC,Defender,1,0,55,India,19
167,Saurabh Bhanwala,Odisha FC,Defender,0,0,45,India,26
168,Hitesh Sharma,Odisha FC,Midfielder,0,0,77,India,28
169,Edwin Sydney Vanspaul,Odisha FC,Defender,0,0,70,India,33
170,Jeremy Zohminghlua,Odisha FC,Defender,0,0,68,India,21
171,Aphaoba Singh,Odisha FC,Forward,0,0,16,India,22
172,Narendra Naik,Odisha FC,Midfielder,0,0,9,India,21
173,Kartik Hantal,Odisha FC,Forward,0,0,6,India,24
174,Tankadhar Bag,Odisha FC,Defender,0,0,1,India,22
175,Pritam Kotal,Chennayin FC,Defender,0,0,450,India,32
176,Alberto Noguera,Chennayin FC,Midfielder,0,1,450,Spain,36
177,Laldinliana Renthlei,Chennayin FC,Defender,0,0,450,India,27
178,Elson José Dias Júnior,Chennayin FC,Defender,1,0,401,Brazil,34
179,Mohammad Nawaz,Chennayin FC,Goalkeeper,0,0,392,India,26
180,Mandar Rao Dessai,Chennayin FC,Defender,0,0,385,India,34
181,Mohammed Ali Bemammer,Chennayin FC,Midfielder,0,0,360,Morocco,36
182,Imran Khan,Chennayin FC,Midfielder,1,0,307,India,31
183,Iñigo Martín,Chennayin FC,Forward,0,0,284,Spain,26
184,Irfan Yadwad,Chennayin FC,Midfielder,1,0,304,India,24
185,Farukh Choudhary,Chennayin FC,Midfielder,0,1,274,India,29
186,Maheson Singh,Chennayin FC,Midfielder,0,0,199,India,21
187,Lalrinliana Hnamte,Chennayin FC,Midfielder,0,0,227,India,22
188,Eduardo Kau,Chennayin FC,Defender,0,0,159,Brazil,27
189,Daniel Chima Chukwu,Chennayin FC,Forward,0,0,35,Nigeria,34
190,Vivek S,Chennayin FC,Forward,0,0,62,India,21
191,Gurkirat Singh,Chennayin FC,Defender,0,0,61,India,22
192,Samik Mitra,Chennayin FC,Goalkeeper,0,0,58,India,25
193,Klusner Pereira,Chennayin FC,Defender,0,0,56,India,28
194,Vignesh Dakshina Murthy,Chennayin FC,Defender,0,0,29,India,28
195,Laldinpuia PC,Chennayin FC,Defender,0,0,4,India,29
196,Jiteshwor Singh,Chennayin FC,Midfielder,0,0,3,India,24
197,Sergio Llamas,Inter Kashi FC,Midfielder,0,0,540,Spain,33
198,Lluis Tarrés Campos,Inter Kashi FC,Goalkeeper,0,0,529,Spain,25
199,Rohit Danu,Inter Kashi FC,Midfielder,1,1,507,India,23
200,Alfred Planas,Inter Kashi FC,Forward,2,1,504,Spain,30
201,Haobam Tomba Singh,Inter Kashi FC,Midfielder,0,1,490,India,23
202,Bilel Saidani,Inter Kashi FC,Defender,0,1,473,India,32
203,Nishchal Chandan,Inter Kashi FC,Defender,0,0,437,India,26
204,Sumeet Passi,Inter Kashi FC,Midfielder,0,0,412,India,31
205,Nauris Petkevi?ius,Inter Kashi FC,Forward,1,1,406,Lithuania,26
206,Wayne Vaz,Inter Kashi FC,Defender,0,0,395,India,27
207,Prasanth Karuthadathkuni,Inter Kashi FC,Midfielder,1,0,369,India,28
208,Prabir Das,Inter Kashi FC,Defender,0,0,225,India,32
209,Narender Gahlot,Inter Kashi FC,Defender,0,0,180,India,24
210,David Humanes,Inter Kashi FC,Defender,0,0,147,Spain,29
211,Nishu Kumar,Inter Kashi FC,Defender,0,0,128,India,28
212,Ashish Jha,Inter Kashi FC,Forward,0,0,71,India,26
213,Jayesh Rane,Inter Kashi FC,Forward,0,0,53,India,34
214,Mohammad Asif Khan,Inter Kashi FC,Midfielder,0,0,33,India,25
215,Karthik Panicker,Inter Kashi FC,Midfielder,0,0,15,India,23
216,Subham Das,Inter Kashi FC,Goalkeeper,0,0,8,India,27
217,Seiminlen Doungel,Inter Kashi FC,Forward,0,0,7,India,32
218,Rafael Ribeiro,SC Delhi,Defender,0,1,450,Brazil,30
219,Abdul-Halik Hudu,SC Delhi,Midfielder,0,0,449,Ghana,26
220,Augustine Lalrochana,SC Delhi,Midfielder,1,0,447,India,21
221,Lamgoulen Gogou Hangshing,SC Delhi,Defender,0,0,445,India,28
222,Matija Babovi?,SC Delhi,Forward,1,1,418,Serbia,27
223,Manoj Mohammed,SC Delhi,Defender,1,0,405,India,27
224,Mohammed Azhar,SC Delhi,Midfielder,0,0,345,India,23
225,Joseph Sunny,SC Delhi,Forward,1,0,269,India,22
226,Nora Fernandes,SC Delhi,Goalkeeper,0,0,270,India,27
227,Alex Saji,SC Delhi,Defender,0,0,270,India,25
228,Mohammed Aimen,SC Delhi,Midfielder,0,1,234,India,23
229,Clarence Fernandes,SC Delhi,Defender,0,0,180,India,21
230,Vishal Yadav,SC Delhi,Goalkeeper,0,0,180,India,23
231,Ramhlunchhunga,SC Delhi,Forward,0,0,157,India,24
232,Devendra Murgaokar,SC Delhi,Forward,0,0,132,India,27
233,Ousmane Fané,SC Delhi,Midfielder,0,0,87,France,32
234,Ayush Adhikari,SC Delhi,Midfielder,0,0,62,India,25
235,Sanatomba Singh,SC Delhi,Defender,0,0,45,India,19
236,Alan Saji,SC Delhi,Forward,0,0,36,India,19
237,Isaac Vanmalsawma,SC Delhi,Midfielder,0,0,30,India,29
238,Julio Rivas,SC Delhi,Forward,0,0,28,,
239,Ashutosh Mehta,SC Delhi,Defender,0,0,8,India,35
240,Ebenezer Amoh,SC Delhi,Forward,0,0,1,Ghana,21
241,Akshat Mehra,SC Delhi,Defender,0,0,1,India,19
242,Kharon Subba,SC Delhi,Midfielder,0,0,1,India,20
243,Naocha Singh,Kerala Blasters,Defender,0,0,495,India,26
244,Arsh Anwer,Kerala Blasters,Goalkeeper,0,0,450,India,23
245,Danish Farooq,Kerala Blasters,Midfielder,0,0,373,India,29
246,Kévin Yoke,Kerala Blasters,Midfielder,0,0,439,,29
247,Sandeep Singh,Kerala Blasters,Defender,0,0,379,India,31
248,Víctor Bertomeu,Kerala Blasters,Forward,1,0,333,Spain,33
249,Vibin Mohanan,Kerala Blasters,Midfielder,0,0,263,India,23
250,Aibanbha Dohling,Kerala Blasters,Defender,0,0,254,India,30
251,Ebindas Y,Kerala Blasters,Midfielder,0,2,323,India,20
252,Muhammad Ajsal,Kerala Blasters,Forward,1,0,312,India,22
253,Korou Singh,Kerala Blasters,Forward,0,0,270,India,19
254,Hormipam Ruivah,Kerala Blasters,Defender,0,0,269,India,25
255,Nihal Sudeesh,Kerala Blasters,Midfielder,0,0,238,India,24
256,Bikash Yumnam,Kerala Blasters,Defender,0,0,232,India,22
257,Oumar Bah,Kerala Blasters,Defender,0,0,221,Spain,31
258,Matías Hernández,Kerala Blasters,Midfielder,0,0,181,Spain,28
259,Fallou Ndiaye,Kerala Blasters,Defender,1,0,180,Senegal,24
260,Muhammed Saheef,Kerala Blasters,Defender,0,0,136,India,23
261,Rowllin Borges,Kerala Blasters,Midfielder,0,0,90,India,33
262,Marlon Roos Trujillo,Kerala Blasters,Midfielder,0,0,276,Germany,22
263,Sachin Suresh,Kerala Blasters,Goalkeeper,0,0,90,India,25
264,Jai Quitongo,Kerala Blasters,Forward,0,1,113,Scotland,28
265,Sreekuttan MS,Kerala Blasters,Forward,0,0,12,India,21
266,Freddy Lallawmawma,Kerala Blasters,Midfielder,0,0,10,India,23
267,Gaurav Bora,Mohammedan SC,Defender,0,0,450,India,27
268,Amarjit Singh,Mohammedan SC,Midfielder,0,0,450,India,25
269,Dinesh Meitei,Mohammedan SC,Defender,0,0,418,India,20
270,Mahitosh Roy,Mohammedan SC,Midfielder,1,0,414,India,27
271,Sajad Hussain Parray,Mohammedan SC,Defender,0,0,405,India,22
272,Adison Singh,Mohammedan SC,Midfielder,0,0,307,India,21
273,Lalthankima,Mohammedan SC,Midfielder,1,0,312,India,20
274,Tangva Ragui,Mohammedan SC,Midfielder,0,0,263,India,22
275,Hira Mondal,Mohammedan SC,Defender,0,0,347,India,29
276,Subhajit Bhattacharjee,Mohammedan SC,Goalkeeper,0,0,270,India,24
277,Lalremsanga Fanai,Mohammedan SC,Midfielder,0,0,217,India,24
278,Padam Chettri,Mohammedan SC,Goalkeeper,0,0,180,India,28
279,Israfil Dewan,Mohammedan SC,Forward,0,0,177,India,25
280,Joseph Lalmuanawma,Mohammedan SC,Defender,0,0,123,India,21
281,Fardin Molla,Mohammedan SC,Forward,0,0,195,India,23
282,Lalngaihsaka,Mohammedan SC,Forward,0,1,183,India,19
283,Makan Chote,Mohammedan SC,Midfielder,0,0,91,India,26
284,Juwel Mazumder,Mohammedan SC,Defender,0,0,52,India,27
285,Rochharzela,Mohammedan SC,Midfielder,0,0,40,India,27
